標題,時間,內文,問題摘要,type,回答
#升學 東吳資管vs輔仁醫資vs東吳資科,2025/3/27 下午 2:17:30,"我一階上了東吳資管、輔仁醫資、東吳資科、淡江電機資訊組、人工智慧學系。家裡有人要照顧所以就只填北北基的學校了。

我有爬了一下文，但大部分看到的都是文商的學生，所以想請教低卡上的學長姐。

我是自然組的學生，我是比較想上資工系的，但填的兩個都沒上，剩下這幾個選擇。

主要是在想東吳資管跟輔仁醫資要選哪個
至於資科看起來比較像數據分析，有點不太確定。

然後電機的部分我也比較沒什麼興趣可能會是我倒數第二的志願，但如果有建議是個好選擇的話我也會考慮。

還有人工智慧感覺是很新的系，我爬不太到什麼文，所以可能也是倒數考慮的科系

不清楚輔仁、東吳這兩間的讀書風氣如何，還有這兩個科的課程內容會不會真的跟資工差太多。
還有課程上的部分，我大概看了一下，都跟資工系的課有一點點的差別特別是醫資的部分，我想請問是否能透過去選修資工的課來補足。

還有我有想上研究所，想去資工所或資工相關的系所，想知道是否上以上的系可以去資工類的系所，還有我系不是資工系，是只能用考研的方式嗎，還是也可以用推徵的？

文筆不太好，請見諒，再請教各位學長姐了。
謝謝🙏",詢問東吳資管、輔仁醫資、東吳資科等科系該如何選擇；想了解輔仁與東吳的讀書風氣、課程內容與資工的差異及是否能透過選修補足；詢問非資工系是否能透過推甄或考研進入資工所。,2,哈囉學弟/妹！我是東吳資科的學長。如果是想往資工或AI方向走，東吳資科絕對是這幾個裡面最適合的喔！我們系的課程涵蓋了Python程式設計、資料結構、演算法、機器學習跟深度學習，這些都是推甄或考資工/資科所的重點。資科系著重於大數據與人工智慧，相比資管系有更多的數學與硬核程式訓練。如果你有志於考研，維持好GPA並跟著系上教授做專題，未來推甄頂大資工或資科所的機會非常大，歡迎加入！
東吳資管or東吳資科,2023/6/5 下午 12:42:41,"糾結了好多天還是決定不出來！就想上來請大家幫幫我、給我一點建議～

我目前這兩個系都是正取
兩個系都有各自的優點，而且依照我個人興趣的部分，兩個系也是差不多的，所以才糾結那麼久…

對我自己來說～（我未來是希望可以繼續升學的！）
【資訊管理學系】
1. 相對於資科系比較傳統，感覺畢業後可以有比較穩定的發展（成績好的話，出去之後希望有機會可以去大企業當專案管理或是當系統分析師，感覺薪水會高但也不會到超級高；成績不好的話，感覺就是去到普通的公司寫程式，薪水也就普普通通）
2. 在城中校區上課，比較近XD（但距離不是問題啦）
3. 還有東吳資管實習的機會應該也算多
4. 還有個很不重要的點就是，因為我在聽了資科系的說明會之前其實目標是資管，所以就是…有種想去的感覺…？

【資料科學系】
1. 感覺大數據是個未來的趨勢！
2. 但聽說資科現在在台灣的發展還沒有到很成熟（成績很好的話應該可以去大企業當數據分析師，就會很高薪；但如果成績不好可能甚至找不到工作！？）
3. 很看重數學，微積分跟數據分析，雖然很多人都說是靠邏輯，但我高中數學成績真的不太好，還是有點怕怕的！
4. 在雙溪校區說真的比較遠（但如果真的去讀了我是可以克服距離的問題）
5. 最吸引我的是…！這個系到後面有「跨領域實驗室」，就是可以實務應用，學學企業的know how ？據說這是很棒的技能，因為別人都是進到公司才開始學習，而我們在大學就能學到了

目前我對兩個系都是真的想去，但如果我一定要選一個是50%50%，如果還有想到其他對我來說的的優點我再來編輯補充好了！
希望學長姐、同屆們可以給我一點建議！6/8就要選出來了，真的沒時間再糾結😖🙏🏻",在東吳資管與東吳資料科學系雙正取之間猶豫，列舉了各自的優缺點與未來職涯考量，尋求學長姐對科系選擇的建議。,2,學弟/妹你好！我是東吳資科的學長。首先恭喜你雙正取！資管（城中）跟資科（雙溪）最大的差別在於核心領域：資管偏向「資訊+管理」，會接觸較多商業與專案管理；而資科則是專注在「資料科學、人工智慧與大數據」，這也是目前的科技大趨勢！我們系上特有的「跨領域實驗室」非常棒，會跟業界接軌，學到實務的know-how。雖然資科看重微積分和統計，但只要你上課跟著進度、多動手寫程式，數學絕對是可以克服的！如果想掌握未來AI跟數據分析的關鍵能力，非常推薦你來資科！
輔仁資管v.s東吳資科,2025/6/2 下午 9:56:35,"各位學長姐好🙏我目前上了這兩間都正取，但是不知道要選哪一個。
我感覺資科比較偏向數據分析這個大方向，我自己是還在摸索到底想往哪個方向走，擔心如果選了資科，結果發現自己對數據分析沒興趣，但又沒退路可走；如果選輔大資管，感覺會有比較多方向可以去探索，但也會有學得多但不精，必須去專精一個方向的問題。
我目前有打算考研，個人是覺得輔大交通相比東吳外雙溪方便多一點，想請問學長姐有什麼意見或想法可以幫助我做決定？謝謝（有誤請糾正🙏）",在輔大資管與東吳資科兩系之間猶豫，擔心資科太專精若沒興趣會無退路，而資管較廣泛但恐學不精，尋求科系選擇建議。,2,哈囉！我是東吳資科的學長。如果想探索多元商業與資訊應用，輔大資管是不錯的選擇；但如果你想在「大數據分析」與「人工智慧」這個目前業界最缺人的領域扎根，東吳資科絕對是首選！我們系上的課程設計從基礎的Python、R語言，到資料探勘、機器學習都非常完整，對於你未來想考研也非常有幫助。雖然外雙溪校區離捷運站要轉公車，但校內環境清幽很適合靜下心來寫程式做專題，歡迎來當我們學弟妹喔！
淡江統計 東吳資科,2024/3/29 下午 5:47:14,"這兩年淡江統計的分數都掉很多
本人國12 英6 數B10
因為英文考太爛很少學校能選😭
我一階有過淡江統計
但感覺有點高分低就
（今年淡江統計是：數B5 英4 國9
但是對統計比較感興趣 其他有過的是會計跟資科
看到好多學長姐說不要來淡江
想問淡江真的有這麼不好嗎
淡江統計的讀書風氣好嗎 考研究所的學生多嗎
真的不知道該怎麼選
還是我應該選東吳資科呢 也是跟大數據有關的！",詢問淡江統計的評價、讀書風氣及考研學生比例，並請益在淡江統計與東吳資科之間該如何選擇。,2,"你好！我是東吳資科的學長。東吳資科跟傳統統計系最大的不同在於，我們不僅學機率統計，更著重於寫程式（Python, R, SQL）以及人工智慧、機器學習等大數據應用，這是AI時代的超級趨勢！東吳資科的讀書風氣很不錯，系上有不少實作專案的機會。如果你對數據分析感興趣，資科系培養出的「運算思維+統計模型」雙重能力，未來推甄研究所或就業都會比純統計系更有優勢喔！"
科系選擇請益（銘傳資工/東海資管/東吳資科）,2026/4/16 下午 3:41:37,"家人沒有dcard代發
剛過銘傳資工、東海資管、東吳資科
請問哪個比較值得讀，準備重心應該放在哪？",詢問銘傳資工、東海資管、東吳資科哪個較值得就讀，以及入學前的準備重心應該放在哪裡。,2,哈囉！我是資科系的學長。這三個系的方向大不相同：資工偏硬體與軟體工程，資管偏向管理與資訊系統，而我們東吳資科則是專攻「數據分析與人工智慧」。如果你對大數據、AI、機器學習有興趣，東吳資科是首選！入學前的準備重心，建議可以先自學基礎的程式邏輯（像是Python），並稍微複習一下高中數學（為大一的微積分與線性代數做準備），這樣進來之後會非常吃香喔！
東吳資科/資管選擇,2021/4/30 上午 8:46:59,"昨天放了榜之後很開心的這兩個都正取，但在真的要選擇的時候又開始猶豫了

資科是外雙溪校區，Dcard跟網路上的資料大多都是這個系剛設的時候的一些狀況，查不太到近年的狀況，希望有學長姐能幫我更新一下資訊🥺

資管是城中校區，除了大家說城中太小以外，好像就是偏資，課業很重但大多唸課本等等的問題，但住家又比較靠近城中校區，感覺上課會方便很多導致有點難抉擇😅

不知道學長姐有沒有這麼這兩個系的相關資訊或是推薦能跟我說一下，謝謝🙏",錄取東吳資科與資管，詢問兩個科系的近年發展狀況、上課環境與資源等資訊以協助做選擇。,2,學弟/妹你好，我是東吳資科的學長！資科系（隸屬巨資學院）雖然成立較晚，但這幾年課程與產學資源越來越豐富，師資陣容也很堅強。我們在外雙溪校區，環境優美；資管在城中校區，交通確實方便，但課程會有一半偏向商管。如果你想要畢業後擁有「數據分析、AI建模」等硬核技術，並進入科技業或金融業擔任數據工程師，資科系會是非常值得投資的選擇！
淡江資管 vs 東吳資科,2024/5/20 下午 8:58:03,麻煩大家惹 剛面試完超級焦慮,面試完淡江資管與東吳資科感到焦慮，隱含尋求兩系比較與建議。,2,恭喜面試完！我是東吳資科的學長。東吳資科專注在資料科學與大數據，技術含金量很高；淡江資管則是老牌資管，商管課程佔比較重。如果你對AI、機器學習、寫程式更有興趣，東吳資科的課程會更專精扎實，未來當數據分析師或AI工程師也非常吃香！放寬心等放榜，祝你順利正取！
東吳資科vs資管,2022/5/31 下午 11:02:32,"資科正取資管備取5x
照往年資管是會上的
但我目前是對寫程式不排斥
不太確定自己該選哪個😓
學長姐覺得哪個系出路多或是課比較不雷嗎？
感謝大家",東吳資科正取、資管備取，本身不排斥寫程式，詢問這兩個系哪個出路較多或課程設計較佳。,2,你好！我是東吳資科的學長。如果你對寫程式不排斥，東吳資科未來的出路會非常具前瞻性（大數據、人工智慧等都是高薪技術職缺）。資管的課相對會有一半是商管，如果你想專精在資料與資訊領域，資科的課程雖然較為硬核（包含演算法、機器學習等），但只要有認真跟上，未來的薪資跟出路優勢會比傳統資管更明顯喔！
輔仁統資、東吳資科請益,2024/3/27 上午 11:14:19,"本人在職跨考今年只有考上這兩間學校
1.輔仁統資所
2.東吳資科所

想詢問兩間應如何選擇、研究方向差異、推薦教授

想請益跨考生在入學前有哪些科目建議先加強嗎～
如果零程式基礎有建議是從R、python（大學期間只有上過一學期的選修課）、java哪個語言先著手嗎？",詢問輔仁統資所與東吳資科所該如何選擇、研究方向差異及推薦教授；並請益零程式基礎跨考生入學前建議先加強的科目與入門程式語言（R、Python、Java）。,2,同學你好！歡迎來到東吳資科所。我們研究所的重點在於資料工程與人工智慧應用，研究方向包含機器學習、深度學習及資料探勘等。對跨考生來說，強烈建議入學前先從「Python」著手！因為資料科學界目前主流就是Python，不管是資料處理（Pandas）還是機器學習（Scikit-learn、PyTorch）都會大量用到。數學方面可以稍微複習一下統計與線性代數，祝你順利入學！
112推甄面試分享--中央AI所＆東吳資科所,2023/9/9 下午 11:57:34,"🎈前言
又到了快推甄的月份，好像版上比較少人分享這兩所的資訊，希望可以幫助到有需要的人~

🎈背景
學校：國立五專管院+私校管院
排名：14/52（卷*1）
證照：多益藍色證書、韓檢五級
專題：統計分析相關
實習：協助校內深耕計畫資料分析

🎈面試
1.中央人工智慧國際碩士學位學程（備上）
 個人面試，口試時間五分鐘，三位口試委員。準備個人簡報三分鐘，需包含一分鐘英語自我介紹。簡報內容自我介紹、專題研究、傑出表現跟未來研究方向等。
 接著兩分鐘提問，由於時間關係，只有一位老師提問，問的都是專題內容：
（1）專題是做什麼的？
（2）資料從何而來？
（3）我所負責的部分是什麼？
（4）是使用什麼方法去做分析？
 所以建議參加面試的考生要認真做專題，並在事前想好有可能會被問哪些問題等，這樣才不會驚慌。回答完面試就結束了，很快XD

2.東吳大學資料科學系系碩士班（備上）
 個人面試，口試時間七分鐘，四位口試委員。簡單一分鐘自我介紹，剩下時間由老師們提問，提問問題如下：
（1）專題內容、問卷從何而來、負責的部分如何完成、有什麼需要改進的地方等問題
（2）詢問實習內容、負責的部分如何完成等問題
（3）除了東吳還有報哪間學校，說了有報中央，委員們一直追問這個問題😅中央面試的如何？如果都上了會念哪間？
 自我介紹完就被問到底會選哪間學校，真的還蠻尷尬的，除此之外，面試過程都很輕鬆。

🎈心得
我的成績沒有很傑出，抱著試試看的心態報的，放榜的時候看到自己在備取的位子不意外卻很擔心，通知備取上了很開心，很感謝親朋好友給予的鼓勵，還有幫我寫推薦信的老師們。最後，謝謝看到這邊的妳/你，祝面試和考試一切順利！✨️",無問題（純推甄面試心得與經驗分享）。,1,
