主分類,子分類,標題,時間,內文
東吳資科相關,其他東吳資科,東吳資管or東吳資科,2023/6/5 下午 12:42:41,"糾結了好多天還是決定不出來！就想上來請大家幫幫我、給我一點建議～

我目前這兩個系都是正取
兩個系都有各自的優點，而且依照我個人興趣的部分，兩個系也是差不多的，所以才糾結那麼久…

對我自己來說～（我未來是希望可以繼續升學的！）
【資訊管理學系】
1. 相對於資科系比較傳統，感覺畢業後可以有比較穩定的發展（成績好的話，出去之後希望有機會可以去大企業當專案管理或是當系統分析師，感覺薪水會高但也不會到超級高；成績不好的話，感覺就是去到普通的公司寫程式，薪水也就普普通通）
2. 在城中校區上課，比較近XD（但距離不是問題啦）
3. 還有東吳資管實習的機會應該也算多
4. 還有個很不重要的點就是，因為我在聽了資科系的說明會之前其實目標是資管，所以就是…有種想去的感覺…？

【資料科學系】
1. 感覺大數據是個未來的趨勢！
2. 但聽說資科現在在台灣的發展還沒有到很成熟（成績很好的話應該可以去大企業當數據分析師，就會很高薪；但如果成績不好可能甚至找不到工作！？）
3. 很看重數學，微積分跟數據分析，雖然很多人都說是靠邏輯，但我高中數學成績真的不太好，還是有點怕怕的！
4. 在雙溪校區說真的比較遠（但如果真的去讀了我是可以克服距離的問題）
5. 最吸引我的是…！這個系到後面有「跨領域實驗室」，就是可以實務應用，學學企業的know how ？據說這是很棒的技能，因為別人都是進到公司才開始學習，而我們在大學就能學到了

目前我對兩個系都是真的想去，但如果我一定要選一個是50%50%，如果還有想到其他對我來說的的優點我再來編輯補充好了！
希望學長姐、同屆們可以給我一點建議！6/8就要選出來了，真的沒時間再糾結😖🙏🏻"
東吳資科相關,其他東吳資科,輔仁資管v.s東吳資科,2025/6/2 下午 9:56:35,"各位學長姐好🙏我目前上了這兩間都正取，但是不知道要選哪一個。
我感覺資科比較偏向數據分析這個大方向，我自己是還在摸索到底想往哪個方向走，擔心如果選了資科，結果發現自己對數據分析沒興趣，但又沒退路可走；如果選輔大資管，感覺會有比較多方向可以去探索，但也會有學得多但不精，必須去專精一個方向的問題。
我目前有打算考研，個人是覺得輔大交通相比東吳外雙溪方便多一點，想請問學長姐有什麼意見或想法可以幫助我做決定？謝謝（有誤請糾正🙏）"
東吳資科相關,其他東吳資科,淡江統計 東吳資科,2024/3/29 下午 5:47:14,"這兩年淡江統計的分數都掉很多
本人國12 英6 數B10
因為英文考太爛很少學校能選😭
我一階有過淡江統計
但感覺有點高分低就
（今年淡江統計是：數B5 英4 國9
但是對統計比較感興趣 其他有過的是會計跟資科
看到好多學長姐說不要來淡江
想問淡江真的有這麼不好嗎
淡江統計的讀書風氣好嗎 考研究所的學生多嗎
真的不知道該怎麼選
還是我應該選東吳資科呢 也是跟大數據有關的！"
東吳資科相關,其他東吳資科,科系選擇請益（銘傳資工/東海資管/東吳資科）,2026/4/16 下午 3:41:37,"家人沒有dcard代發
剛過銘傳資工、東海資管、東吳資科
請問哪個比較值得讀，準備重心應該放在哪？"
東吳資科相關,其他東吳資科,東吳資科/資管選擇,2021/4/30 上午 8:46:59,"昨天放了榜之後很開心的這兩個都正取，但在真的要選擇的時候又開始猶豫了

資科是外雙溪校區，Dcard跟網路上的資料大多都是這個系剛設的時候的一些狀況，查不太到近年的狀況，希望有學長姐能幫我更新一下資訊🥺

資管是城中校區，除了大家說城中太小以外，好像就是偏資，課業很重但大多唸課本等等的問題，但住家又比較靠近城中校區，感覺上課會方便很多導致有點難抉擇😅

不知道學長姐有沒有這麼這兩個系的相關資訊或是推薦能跟我說一下，謝謝🙏"
東吳資科相關,其他東吳資科,輔仁統資、東吳資科請益,2024/3/27 上午 11:14:19,"本人在職跨考今年只有考上這兩間學校
1.輔仁統資所
2.東吳資科所

想詢問兩間應如何選擇、研究方向差異、推薦教授

想請益跨考生在入學前有哪些科目建議先加強嗎～
如果零程式基礎有建議是從R、python（大學期間只有上過一學期的選修課）、java哪個語言先著手嗎？"
東吳資科相關,其他東吳資科,東吳資料科學系新生群,2026/5/5 下午 8:44:43,"有即將加入東吳資科夥伴的學弟妹嗎？
系上會長準備了群組給學弟妹們提前了解～
有需要都可以加入問問題喔！
資科系上的朋友們都會為你解惑～
附上你們的准考證號碼，小夥伴們審核過後就可以加入了喔！
-
-
-
-
連結底下⬇️
-
您已被邀請加入「115學年資科新生群」！請點選以下連結加入社群！"
東吳資科相關,其他東吳資科,112推甄面試分享--中央AI所＆東吳資科所,2023/9/9 下午 11:57:34,"🎈前言
又到了快推甄的月份，好像版上比較少人分享這兩所的資訊，希望可以幫助到有需要的人~

🎈背景
學校：國立五專管院+私校管院
排名：14/52（卷*1）
證照：多益藍色證書、韓檢五級
專題：統計分析相關
實習：協助校內深耕計畫資料分析

🎈面試
1.中央人工智慧國際碩士學位學程（備上）
 個人面試，口試時間五分鐘，三位口試委員。準備個人簡報三分鐘，需包含一分鐘英語自我介紹。簡報內容自我介紹、專題研究、傑出表現跟未來研究方向等。
 接著兩分鐘提問，由於時間關係，只有一位老師提問，問的都是專題內容：
（1）專題是做什麼的？
（2）資料從何而來？
（3）我所負責的部分是什麼？
（4）是使用什麼方法去做分析？
 所以建議參加面試的考生要認真做專題，並在事前想好有可能會被問哪些問題等，這樣才不會驚慌。回答完面試就結束了，很快XD

2.東吳大學資料科學系系碩士班（備上）
 個人面試，口試時間七分鐘，四位口試委員。簡單一分鐘自我介紹，剩下時間由老師們提問，提問問題如下：
（1）專題內容、問卷從何而來、負責的部分如何完成、有什麼需要改進的地方等問題
（2）詢問實習內容、負責的部分如何完成等問題
（3）除了東吳還有報哪間學校，說了有報中央，委員們一直追問這個問題😅中央面試的如何？如果都上了會念哪間？
 自我介紹完就被問到底會選哪間學校，真的還蠻尷尬的，除此之外，面試過程都很輕鬆。

🎈心得
我的成績沒有很傑出，抱著試試看的心態報的，放榜的時候看到自己在備取的位子不意外卻很擔心，通知備取上了很開心，很感謝親朋好友給予的鼓勵，還有幫我寫推薦信的老師們。最後，謝謝看到這邊的妳/你，祝面試和考試一切順利！✨️"
東吳資科相關,其他東吳資科,東吳資科請益,2024/1/18 下午 9:07:54,"寒轉上了東吳資科系 但當初只是報著試試看的心態報的 沒想到會上榜！反而是想上的東吳資管連備取都沒有🥲

想請問版上的各位學長姐 東吳資科這個系未來前景好嗎？我要轉系 還是繼續留在資科讀到畢業呢？想請各位給我意見了🙏謝謝您們☺️"
東吳資科相關,其他東吳資科,東吳科系請益🙏🏻,2025/3/4 上午 1:36:45,"學測成績 ：
國11（均）
英10（均）
數B6(均）
社11（均）
想讀東吳 可以說選校不選系 除了純文沒興趣
用落點分析比較有機會上的
有東吳企管、社工、政治、精算、資科 
問題是今年企管、社工、政治採計倍率有變
不確定性變好高 保底精算和資科

自己的興趣是商管和政治 其他偏無感不排斥 
但因為科系類別差太多了 備審感覺會做到死
用分科落點分析過
如果公民考47（前）
能上學測卡數學的國貿、經濟、資管（皆有興趣）
學測有機會上的依然有機會
甚至有輔大商科
讓我很心動 也願意讀公民

不過家人不希望我分科 學測儘量上
理由是商科讀出來都差不多？
但我也不想備審做到死
想問長姊東吳這幾個科系比較推哪些
有爬文目前看下來資管跟企管比較推 
精算太數學了 可能不會選
另外我該分科嗎 謝謝🙏🏻
——————————————————————
更 留言提醒我看成113分科 
今年除了企管的商科都採數乙 
數學一直是我的心魔 也擔心準備數乙和公民會不會兩頭空😥"
