編號,核心整理內容
1,東吳大學社會資源處生涯發展中心發布「畢業生流向訪問」，對象為113、111及109學年度畢業校友。自2026年7月11日起由在校學弟妹進行電話訪問，2026年8月25日前完成線上問卷填寫可參加抽獎，提供300個紀念品。
2,畢業生流向訪問抽獎規則：採三波滾動式進行（未中獎資格累計至下一波），第一波6/25前填答（6/27抽150名）、第二波7/25前填答（7/27抽100名）、第三波8/25前填答（8/27抽50名）。獎品含頭獎東吳二代絨毛熊一對（2名）、常玉杯（4名）等共300個獎項。
3,畢業生流向訪問政策宣導：依教育基本法第九條及教育部規定辦理之全體普查（非隨機抽樣），調查對象為畢業滿一年、滿三年及滿五年校友，核心目的為校務辦學優化、學系課程調整與校友服務聯繫。
4,畢業生流向訪問填答管道說明：第一種為6月至8月「線上問卷」（帳號為身分證字號、密碼為生日後四碼，同步發送簡訊與Email）；第二種為7月至8月「學弟妹電話訪問」，由在校生組隊進行一對一電話訪問協助填答。
5,畢業生流向FAQ：詢問薪資為教育部法定調查項目，採「區間範圍」且資料去識別化處理以保障個人隱私；待業中或薪資不理想亦請如實填寫，作為母系調整課程與學弟妹了解職場的參考依據。
6,畢業生流向FAQ：調查公司名稱、職位與工作內容旨在分析產業類別與職業類型分佈，作為系所課程與職涯輔導參考；若任職公司有保密考量，可填寫概括性代稱（如【XX補習班】、【XX律師事務所】）。
7,畢業生流向FAQ：同時具本校學士與碩博士且各自屆滿1、3、5年畢業資格者，需分別填寫兩份問卷以評估各學制成效；歷年調查統計結果公開於生涯發展中心官方網站專區供校友點閱。
8,巨量資料管理學院畢業典禮邀請函：時間為115年6月13日（星期六）中午12:30，地點於東吳大學外雙溪校區哲生樓3樓。
9,115學年度大學個人申請入學第二階段甄試面試感謝圖卡：致謝蒞臨資料科學系之全體考生與家長。
10,115學年度大學入學申請二階甄試說明會：許晉雄教授兼教務長於講台前向滿座考生與家長進行學系簡介與辦學特色說明。
11,資料科學系陳妙音同學影音訪談：分享「你會希望機器幫你做什麼呢」，引導思考人工智慧走入日常生活之應用特色。
12,115學年度申請入學二階面試外雙溪校區平面導覽地圖：標註校園各大樓位置與敬熙路旁哲生樓試場所在地，提供自校門口之步行導引動線。
13,外雙溪校區前往哲生樓步行路徑特寫：放大展示自臨溪路公車站與八角亭出發，穿越綜合大樓與戴蓀堂至哲生樓試場之關鍵路線。
14,115學年度大學申請入學面試試場環境準備：外雙溪哲生樓電腦教室考場迎賓標牌與試務準備實況。
15,115學年度大學申請入學二階甄試重要須知：面試時間為115年5月16日（六）及5月17日（日），地點於外雙溪哲生樓（H303為家長休息與AI體驗區、H304為考生候考區）；5月15日14:00-17:00開放查看試場環境（教室不開放）。
16,資料科學系「機械手臂工作坊」活動花絮：專業講師操作示範並解說機械手臂之伺服馬達控制、自動化路徑規劃與感測反饋演算法實作。
17,畢業生升學方向指南：分為「技術導向（AI/資工/資料科學，國內外頂大）」、「商業導向（商業分析/企管）」與「跨域應用（醫療/教育/科技）」三大核心進路。
18,資料科學系優秀系友錄取國外研究所榜單：包含澳洲蒙納許大學（資料科學碩士）、美國明尼蘇達大學雙城分校（CS碩士）、英國倫敦大學（商業分析碩士）、澳洲雪梨大學（CS碩士）及澳洲國立大學（計算機碩士）。
19,一般大學特定碩士/學位學程升學概覽：彙整台大、清大、陽明交大、成大、政大、師大、中央等國內公立頂大在資訊/AI/資料科學、商管/大數據/FinTech及醫療/公衛之跨域碩士學程。
20,科技大學碩士班升學指南：彙整國立臺灣科技大學、台北科技大學、高雄科技大學於資訊/AI、商管/金融及互動設計等領域之研究所進路。
21,前沿人工智慧專題講座課堂：青年學者剖析「AI AGENT 與 AGENTIC AI 你分得清嗎？」，探討生成式AI自主智能代理人之架構設計與任務執行比較。
22,「資料科學系職涯諮詢室」宣傳圖卡：探討「沒念頂大，真的能出國念研究所嗎？」，提供官方社群平台以獲取留學與職涯輔導資訊。
23,社群短影音宣傳「金融科技 X 資料科學」：探討學生如何將課堂所學程式交易、演算法與量化模型應用於元大台灣50（0050）ETF之走勢判斷。
24,巨資學院國際學術合作簽約：詹乾隆校長、金凱儀院長與美國亞利桑那州立大學（ASU）雷鳥全球管理學院代表簽署正式跨國雙聯學位合作契約。
25,ASU雷鳥全球管理學院雙邊學術座談會：金凱儀院長向美方代表團分享東吳AI發展現況，深入對談國際交換學程與實習規劃。
26,校院主管與美國ASU雷鳥全球管理學院代表團簽約全體合影。
27,智慧創新AI學習中心科研設備體驗：展示男學員穿戴全身慣性動作捕捉感應服裝與頭盔，進行元宇宙人體姿態估算與人機互動系統校準。
28,高中生校園參訪團大合照：約三十位高中學生於智慧創新AI學習中心參訪，並與兩台迎賓凱比機器人（Kebbi）同框合影。
29,智慧創新AI學習中心全景：展示配置專業電競主機、雙螢幕工作站與人體工學椅之高規格AI智慧實驗室。
30,先進研究設備形象展示：展示女學員穿戴「SOL穿戴式AR眼動儀眼鏡」，即時採集視線熱區圖與眼球動態追蹤數據。
31,「生成式AI工作坊：從零開始的實作體驗」教學現場：階梯教室坐滿學員人手一機進行大模型實作。
32,工作坊技術特寫授課：講師解析自主智能代理人「AI Agent (OpenClaw - Manus)」核心特徵：自主規劃、使用工具與主動執行任務。
33,「OpenClaw — 核心特色」架構教學：解析系統六大支柱，包含開源自架、多通道整合、持久記憶、自主行動、技能系統與語音互動。
34,工作坊學員專案成果發表：學員示範調用 API 將自建 AI 代理人串接到 Telegram 通訊軟體實現自動回覆。
35,工作坊底層系統配置實況：講師指導學員進行 Windows (WSL) 虛擬化子系統安裝、使用者權限與環境配置除錯。
36,實作課堂技術指導側拍：助教彎腰為學員提供一對一演算法邏輯與程式碼除錯指導。
37,實作課堂整體氛圍側拍：記錄滿室學員使用個人筆電編程、終端機調試與團隊共學之課堂日常。
