id,source,text
2,dom:div,"lyshinn_
2023-12-17
欸 我想上東吳那篇文被好多人看到 回應一下
首先 我有夠害羞 到時候沒上就尷尬 別笑我
其次 為什麼總有人喜歡對別人的夢想指指點點
：現在上東吳也要用想的喔⋯
：東吳？那什麼學校？
幹每個人的資質就不一樣 為什麼喜歡評論別人的大學
每次聽到這種就很躁
我就是知道自己的程度大概在私立大學
我覺得那些學長姊的說快逃 說早八很難到
這些都很正常也很好笑 我看得很開心也會回的很開心
但那些在吐這個大學的人是什麼意思幹
不理解欸我真的不理解 這是什麼心態
在別人想上大學的文下面貶低這個大學 情商很低。
學測生停不下這些 至少我聽不下
就算東吳再爛也輪不到你們酸言酸語
任何人想上的大學都不能被貶低 訓練一下情商。
1,152
147
69"
7,dom:div,"enhyuan_
2025-3-30
看到低卡有一個逢甲的在臭文化法律 說他是法律系地板
然後底下有一個靜宜法的說 沒有敝校才是地板
另外一個東吳的回:謝謝你讓我知道靜宜有法律哈哈哈哈哈哈
幹
主要是打破我的刻板印象
我以為法律系只愛戰校
沒想過那篇低卡底下不分學校法律系都在嗆逢甲原潑
1
/
2
2,092
49
28
66"
12,visible:span[dir='auto'],"突然覺得最近
程式設計、資料科學相關的職缺
好難找⋯⋯"
13,visible:span[dir='auto'],好奇今天在東吳面試的同學們感覺如何
17,visible:span[dir='auto'],"數學系快畢業了
歡迎問我任何有關AI、機器學習、資料科學等問題，我會在我能力範圍內盡量回答你。
1
/
2"
18,visible:span[dir='auto'],上東吳有什麼推薦的活動或社團嗎？還是有什麼會踩雷的？可以請學長姐們給小的我一點建議嗎？對大學期待但我又不知道在期待什麼www
19,visible:span[dir='auto'],"東吳 你不是私立嗎 好了就好了
太超標了 高6級分 什麼意思💀💀💀
1
/
2"
24,visible:span[dir='auto'],法商可以讀，但就是東吳補習班，要認真
25,visible:span[dir='auto'],但我上的是資料科學系
26,visible:span[dir='auto'],有人也是東吳資科的嗎我要來大型認親了
27,visible:span[dir='auto'],歡迎加入東吳大學資料科學系！
30,visible:span[dir='auto'],"在十六週和十八週中間，東吳選擇了一個十七週
/
然後就會發現碩士生會爆炸，所有的報告都卡在下下週"
32,visible:span[dir='auto'],"東吳和輔大到底哪個比較好？
我個人感覺東吳比較有名吧？
為什麼輔大分數這麼高？"
35,visible:span[dir='auto'],"國北你敢不敢收我
清華你敢不敢收我
市北你敢不敢收我
台藝你敢不敢收我
輔仁你敢不敢收我
東吳你敢不敢收我
東海你敢不敢收我
中山你敢不敢收我
高師你敢不敢收我
1
/
2"
36,visible:span[dir='auto'],"我上東吳大學了
42%出奇蹟😭😭😭😭
謝謝大家謝謝神明
我愛大家
我是東吳的學生了
被審資料再見啦😭😭😭😭😭😭
1
/
2"
37,visible:span[dir='auto'],"東吳大學115年科系人數排行：
法律學系 1,204
會計學系 965
企業管理學系 941
日本語文學系 827
經濟學系 755
英文學系 724
財務工程與精算數學系 707
中國文學系 680
國際經營與貿易學系 531
社會工作學系 528
資訊管理學系 518
政治學系 507
社會學系 487
資料科學系 403
心理學系 288
1
/
2"
39,visible:span[dir='auto'],"說我考上東吳大學很優秀已經很尷尬了，為什麼還要問我什麼系...
1
/
2"
40,visible:span[dir='auto'],東吳大學是什麼怪人收集器嗎
41,visible:span[dir='auto'],"想問問一看👀
淡江
輔仁
東吳
哪一間的經濟學系比較好"
44,visible:span[dir='auto'],"超扯超扯超扯 笭菁欸
我大東吳還是太厲害了"
47,visible:span[dir='auto'],"網路上一直在討論東吳大學要合併台大
我的理想是 東吳+政大+國北教 三間合併
這樣就可以叫「東政教大學」
校長還叫「乾隆」多麼氣派啊😎
1
/
2"
48,visible:span[dir='auto'],"要為了校名去政大還是為了科系去東吳啊…
1
/
2"
