id,source,text
2,dom:div,"lyshinn_
2023-12-17
欸 我想上東吳那篇文被好多人看到 回應一下
首先 我有夠害羞 到時候沒上就尷尬 別笑我
其次 為什麼總有人喜歡對別人的夢想指指點點
：現在上東吳也要用想的喔⋯
：東吳？那什麼學校？
幹每個人的資質就不一樣 為什麼喜歡評論別人的大學
每次聽到這種就很躁
我就是知道自己的程度大概在私立大學
我覺得那些學長姊的說快逃 說早八很難到
這些都很正常也很好笑 我看得很開心也會回的很開心
但那些在吐這個大學的人是什麼意思幹
不理解欸我真的不理解 這是什麼心態
在別人想上大學的文下面貶低這個大學 情商很低。
學測生停不下這些 至少我聽不下
就算東吳再爛也輪不到你們酸言酸語
任何人想上的大學都不能被貶低 訓練一下情商。
1,152
147
69"
13,visible:span[dir='auto'],好奇今天在東吳面試的同學們感覺如何
18,visible:span[dir='auto'],上東吳有什麼推薦的活動或社團嗎？還是有什麼會踩雷的？可以請學長姐們給小的我一點建議嗎？對大學期待但我又不知道在期待什麼www
19,visible:span[dir='auto'],"東吳 你不是私立嗎 好了就好了
太超標了 高6級分 什麼意思💀💀💀
1
/
2"
32,visible:span[dir='auto'],"東吳和輔大到底哪個比較好？
我個人感覺東吳比較有名吧？
為什麼輔大分數這麼高？"
39,visible:span[dir='auto'],"說我考上東吳大學很優秀已經很尷尬了，為什麼還要問我什麼系...
1
/
2"
40,visible:span[dir='auto'],東吳大學是什麼怪人收集器嗎
41,visible:span[dir='auto'],"想問問一看👀
淡江
輔仁
東吳
哪一間的經濟學系比較好"
49,visible:span[dir='auto'],"2025年初回顧
關於資料科學 相關職缺面試被問的問題
2019-2020:
請你自我介紹，問一些python跟統計或ML相關的package你會哪些。
2023-2024:
演算法白板題、視覺化工具、容器與微服務、spark、git與CI/CD、排程工具、三大雲端、LLM RAG等相關開發經驗…"
50,visible:span[dir='auto'],"想請問北大法跟他東吳法應該選哪一個呢
不考慮排名和學費的話"
52,visible:span[dir='auto'],"雖然東吳大學並不是什麼名校，但還是勝過台灣大學。
東吳大學有爬不完的樓梯，而台灣大學沒有，
此為一勝；
東吳大學一勝，台大零勝，此乃第二勝；
東吳大學兩勝，台大零勝，此乃第三勝。
故東吳大學才是貨真價實的頂大。"
54,visible:span[dir='auto'],"我是東吳大一新生，最近看到學校在宣傳東吳超馬報名還有招募志工，好像有點好玩，不曉得有沒有參加過的學長姐可以分享一下經驗୧( ""̮ )୨✧︎"
55,visible:span[dir='auto'],"輔大會計好嗎？
我沒上北大和東吳就填輔大了
海大不知道在哪個等級"
62,visible:span[dir='auto'],"東吳經濟
東吳財務工程與精算數學系
輔仁統資
要怎麼選啊啊啊😭
有沒有學長姐能給建議或優缺點"
66,visible:span[dir='auto'],今年東吳會計比企管低是什麼意思😌😌
72,visible:span[dir='auto'],"面試完一間了～（還有兩間
東吳的教授人好好喔！ 進去之後：教授你好，我是某某某
🧑‍🏫：請坐，請用兩分鐘自我介紹一下
我：（笑）不用懷疑我真的笑出來
🧑‍🏫：有什麼好笑的？
我：我沒準備自我介紹
🧑‍🏫：好沒關係，其實自我介紹就是….（開始引導我怎麼自我介紹
超感動的😍"
73,visible:span[dir='auto'],"想問一下如果要特殊選材
以政治系來說最好的就是東吳了嗎？"
77,visible:span[dir='auto'],學長你好請問東吳好混嗎
81,visible:span[dir='auto'],期末考要考東吳政治招生SWOT 但是我真的想不到敝系有什麼弱點可以寫欸
82,visible:span[dir='auto'],"想問問有沒有東吳哲學系的長姊～
我考上了東吳哲學要去當下一節新生
想要了解平常哲學上課大概是什麼樣的模式 還有課堂中會有什麼樣的活動或是報告之類的！
因為科系介紹比較少說到這些 大部分都在講雙主輔😭
還有想請問有沒有什麼課比較有趣一點或是比較甜可以修 謝謝🙇🏻‍♀️🙇🏻‍♀️"
88,visible:span[dir='auto'],"我正在思考要不要先填東吳商學院，再拼轉系或雙主修法律，但轉系要考英文...雙主修系排要很高，輔大看起來要雙法律比較容易（？
但我很多老師推東吳，不管是校風、環境、上榜率等等，而且法商學院的校區在中正，要去買東西什麼的也方便很多
我現在也只有東吳跟輔大可以選了，北大光是英文就一堆不能填"
90,visible:span[dir='auto'],"為什麼我同學填輔大東吳私立的他們面試這麼緊張啊
一直擔心沒辦法錄取
是招生名額很多的系
明明備取備到超後面也還可以上餒？"
96,visible:span[dir='auto'],"到底要選輔仁還是東吳…
雖然論分數好像都不怎麼樣
輔仁好處在於真的很方便 非常方便
學校本身也不錯
東吳根本遠的要命的王國 如果選東吳得考慮租房子又是一筆大開銷 只是輔導老師跟我說社工的東吳口碑好像比輔仁好 東吳還有卡研 只是真的很遠
住宿我能接受 但錢包好像有點難接受"
97,visible:span[dir='auto'],身為東吳歷史系的新生有什麼需要注意的嗎🧐
99,visible:span[dir='auto'],東吳和輔大日文要怎麼抉擇？
106,visible:span[dir='auto'],"幹東吳是只有法律和會計嗎
不在城中校區根本就偏鄉。
有學長姐可以分享真實生活水準嗎
連捷運都沒有我要怎辦。
1
/
2"
113,visible:span[dir='auto'],有東吳社會學的學長姐嗎。我好想知道都在學什麼 還有環境跟系上都是怎樣的
118,visible:span[dir='auto'],輔大和東吳，你想進哪一間？
119,visible:span[dir='auto'],有東吳資管的同學嗎！身為東吳的新生有什麼需要注意的嗎
