id,source,text
1,dom:div,"為你推薦
新串文
搜尋
動態
個人檔案
洞察報告
已儲存
動態消息
編輯
追蹤中
附帶原始貼文的回覆內容
更多"
2,dom:div,"cavcorleone
東吳大學
2026-6-8
2017年舊片
2026仍有東吳水師
1,538
60
129
588"
3,dom:div,"z.t__58
東吳大學
2025-9-6
告訴自己心平氣和的等557不要亂叫Uber
671
31
1
143"
4,dom:div,"70504.l
2026-2-26
最近開始填志願
歡迎來當我學弟妹
\東吳社會第一名/
18"
5,dom:div,"yirstnec
2026-4-9
選擇了法律系，你就可以花四年學習憲法、民法、刑法、行政法、民事訴訟法、刑事訴訟法、公司法、保險法、法理學、法律史、國際公法，然後在國考失利後另謀出路。
2,556
87
194
425"
6,dom:div,"jellyyunnn_
2026-4-4
想請問有沒有嘉義大學微生物免疫與生物藥學系 或 中正大學生物醫學科學系 的學長姐可以分享一些備審和面試的經驗 嗚嗚嗚拜託 求求了
很想去這兩個系但網路上找不太到資料
尤其嘉大微藥 能查到的只有校網的😭
15
9
11"
7,dom:div,"dcard.college
2026-2-7
哲學系的解密時間✨
⚠哪些學校有哲學系？
公立：臺大、政大、中正
私立：東海、輔大、東吳、文化、長榮、華梵
⚠哲學系的學生相處？
我覺得很酷，因為有各式各樣的同學
的確會有人是把哲學系當成跳板系
但也因此系上的人不會只侷限於文組的學生
不同的想法在哲學系是受歡迎的
⚠給大一新生的建議
歡迎進到哲學系這個思辯的殿堂😝
進到哲學系，首先你不能對哲學排斥...
1
/
2
96
4
3
20"
8,dom:div,"yang_aizhu
2026-3-21
我是一個還沒畢業的法律系學生
我今年47歲，我也知道我不年輕，但是我的目標是檢察官，我一直希望能再律師事務所上班，希望能有一位律師大人給我一個機會，我會非常認真的學習和工作。
我住在高雄市.
410
81
38"
9,dom:div,"avocado._.uwu
2026-3-2
本酪數學底標🥑
這樣東吳英文還有希望嗎？😓
1
/
2
194
30
1
17"
10,dom:div,"_neptune._lee
2026-6-15
114-2 課程評鑒 #4
基本資訊
1/ 課程類別：生工系選修
2/ 課程名稱：環境與能源的資料科學
3/ 授課教師：傅群
4/ 課程時間：三 234
5/ 加簽方式：2類
6/ 學分數量：3學分
7/ 本學期修課人數：51人
評價指標
8/ 甜度：★★★ （中規中矩）
9/ 涼度：★★★ （中規中矩）
課程介紹與評價
10/ 個人評價
對於已經有一些 Python 跟 ML 基礎的我來說，這門課的重點是放在做期末專案以及吸收老師在業界的經驗這兩個部分。
專案方面，因為進行能源提案這個方向非常大，而且很多面向都已經被做過了（詳見台大永續辦公室），所以其實題目不是很好挑。選好題目之後在資料集的處理跟弄一些簡單的模型上應該是不會有太技術上的困難，重點會是如何找出想要的結果，這方面老師跟助教也會給很多有幫助的建議。比較好玩的是報告是以商業導向為主，也就是發表時不會是一般熟悉的學術報告模式，而是注重結果、重點導向的，對想走資料科學業界或許有些幫助。期末發表評分會邀請永續辦專業人士，會考慮提案在現實中實行的可能性，整體來說還蠻有趣且實際的。
1
/
6
14
5
1"
11,visible:span[dir='auto'],有人也是東吳資科的嗎我要來大型認親了
12,visible:span[dir='auto'],歡迎加入東吳大學資料科學系！
13,visible:span[dir='auto'],"突然覺得最近
程式設計、資料科學相關的職缺
好難找⋯⋯"
14,visible:span[dir='auto'],法商可以讀，但就是東吳補習班，要認真
15,visible:span[dir='auto'],但我上的是資料科學系
16,visible:span[dir='auto'],"我要笑死 中央太空科學系的官網長這樣
1
/
2"
17,visible:span[dir='auto'],好奇今天在東吳面試的同學們感覺如何
18,visible:span[dir='auto'],"讓我增廣見聞一下
有什麼系是聽起來很沒用，但意外有工作的嗎？"
19,visible:span[dir='auto'],"面試完教授說：「我們系很歡迎你來」
好徵兆嗎😭"
20,visible:span[dir='auto'],台灣有哪個系不會被勸「快逃」
21,visible:span[dir='auto'],"數學系快畢業了
歡迎問我任何有關AI、機器學習、資料科學等問題，我會在我能力範圍內盡量回答你。
1
/
2"
22,visible:span[dir='auto'],上東吳有什麼推薦的活動或社團嗎？還是有什麼會踩雷的？可以請學長姐們給小的我一點建議嗎？對大學期待但我又不知道在期待什麼www
23,visible:span[dir='auto'],"只要30秒，讓你輕鬆抵達巨資學院資料科學系❗️
巨資小編今天介紹「校內動線1」，由校門口進來後走臨溪路接敬熙路，就可以抵達哲生樓，我們系在3樓。
看完請記得按按讚，簡單又輕鬆😚
再~也不用擔心在東吳迷路找不到「哲生樓」囉。
巨資小編是你最貼心的GPS 💁‍♀️"
24,visible:span[dir='auto'],"​脆友們好！👋
​下個學期要去東吳大學中文系交換了，
身為一個初來乍到的外地人，想來求助一下大家 🥺
​想問問東吳的學長姐或在地人，有沒有推薦的：
​東吳周邊或士林一帶必吃的美食？（雙溪校區美食沙漠的傳言是真的嗎 🤣）
​中文系有沒有哪些老師的課是「必修/必聽」，或是風格很有趣的？
​再麻煩大家推薦了，感謝各位！✨"
25,visible:span[dir='auto'],"小弟想請問這裡有雲科機械碩士的學長可以分享畢業後的出路嗎
我在營造廠做了2年多 之後想補個碩士學歷
想請問學長們畢業後都在哪裡就業呢"
26,visible:span[dir='auto'],"東海 東吳 東華 台東 不要再叫自己「東大」了
「東大」他媽的是「東京大學」"
27,visible:span[dir='auto'],台東大學 不叫東大叫什麼 台大嗎
28,visible:span[dir='auto'],"東吳日文、世新日文
本人目前在思考這兩所
我知道東吳一定比較好，只是突然開始察覺到自己是否真的想繼續學日文這件事（高中應日科畢業）
感覺讀東吳的話，未來基本上就會一直走日文這條路了，但如果去世新不知道有沒有機會轉系或輔系然後未來往媒體方面走
本人也想去交換留學，感覺去東吳的話競爭會比較大，課業應該也會相對重。
希望有有經驗的人可以給我點建議。謝謝！"
29,visible:span[dir='auto'],以我現在東吳日文要升大二來說，其實也沒有說我畢業後一定會往日文繼續走下去，但就是這四年要探索你以後想做的職業！
30,visible:span[dir='auto'],東海的選課是什麼啊。要怎麼找到自己系的必修課表，我怕選了然後撞堂
31,visible:span[dir='auto'],啊統計與資料科學指引不是說1到2分鐘的自我介紹嗎 進去直接30秒😭 生無可戀 隨便講了
32,visible:span[dir='auto'],東吳有新生群可以加嗎
33,visible:span[dir='auto'],"在十六週和十八週中間，東吳選擇了一個十七週
/
然後就會發現碩士生會爆炸，所有的報告都卡在下下週"
34,visible:span[dir='auto'],"莫名其妙正取資管系
但是我本身是0程式設計方面的基礎
數學還有英文也很爛 這樣唸資管會太硬嗎🙏"
35,visible:span[dir='auto'],"如果你們不想要系會時間擋在那裡
歡迎來到東吳資料科學系（？）
選課排課無負擔"
36,visible:span[dir='auto'],生成一張典型的電機系學生照片，不要美化，真實長相反應，越寫實越好，三到四人
37,visible:span[dir='auto'],"資工系三大雷點
1. 程式碼裡有中文
2. 使用淺色模式
3. 欸幫我修電腦"
38,visible:span[dir='auto'],"東吳和輔大到底哪個比較好？
我個人感覺東吳比較有名吧？
為什麼輔大分數這麼高？"
