id,source,text
1,dom:div,"為你推薦
新串文
搜尋
動態
個人檔案
洞察報告
已儲存
動態消息
編輯
追蹤中
附帶原始貼文的回覆內容
更多"
2,dom:div,"lyshinn_
2023-12-17
欸 我想上東吳那篇文被好多人看到 回應一下
首先 我有夠害羞 到時候沒上就尷尬 別笑我
其次 為什麼總有人喜歡對別人的夢想指指點點
：現在上東吳也要用想的喔⋯
：東吳？那什麼學校？
幹每個人的資質就不一樣 為什麼喜歡評論別人的大學
每次聽到這種就很躁
我就是知道自己的程度大概在私立大學
我覺得那些學長姊的說快逃 說早八很難到
這些都很正常也很好笑 我看得很開心也會回的很開心
但那些在吐這個大學的人是什麼意思幹
不理解欸我真的不理解 這是什麼心態
在別人想上大學的文下面貶低這個大學 情商很低。
學測生停不下這些 至少我聽不下
就算東吳再爛也輪不到你們酸言酸語
任何人想上的大學都不能被貶低 訓練一下情商。
1,152
147
69"
3,dom:div,"crispfoodsky
高中生
2026-4-3
高中生與家長115年最關切百大校系：心理學群￼
中正大學 犯罪防治學系
政治大學 心理學系
成功大學 心理學系
輔仁大學 心理學系
台灣大學 心理學系
台灣師範 教育心理與輔導學系
中正大學 心理學系
世新大學 社會心理學系
清華大學 教育心理與諮商學系
南華大學 生死學系
輔仁大學 臨床心理學系
中山醫學 心理學系
台中教育 諮商與應用心理學系
亞洲大學 心理學系
中原大學 心理學￼系
1
/
2
1,718
31
83
339"
4,dom:div,"alm0rn0306
2026-1-2
世新大學炎上懶人包：
1、數媒系和資傳系合併Ai系成
2、併系這件事已經確定
3、程序問題，從email 通知到說明會中間間隔只有2天包含元旦假期
4、學校開了溝通說明會但沒有採納學生意見的意思
以上，如果還有遺漏歡迎幫我補充。
在只能容納50人的教室站滿了快100位學生，整場溝通充滿的反對的聲浪，只得到學校的迂迴和打壓。
到底還有什麼辦法能讓我們發聲，還有什麼管道？身為台灣的學生是真的絕望了
1
/
2
4,107
98
242
610"
5,dom:div,"hugohugochang2006
2026-6-3
meta.ai
請從學制、就業方向、地理位置等各個方面 狠狠批評嘉義大學應用歷史系 無需保留一絲體面
8
4
22"
6,dom:div,"helg_aagleh
2025-12-28
法律系最最不可思議最溫暖的一幕就是
每一個快撐不下去的人
看到別人快撐不下去時
還是會說一句加油
即便是踩著別人屍體的考試
1
/
2
1,308
13
49
35"
7,dom:div,"enhyuan_
2025-3-30
看到低卡有一個逢甲的在臭文化法律 說他是法律系地板
然後底下有一個靜宜法的說 沒有敝校才是地板
另外一個東吳的回:謝謝你讓我知道靜宜有法律哈哈哈哈哈哈
幹
主要是打破我的刻板印象
我以為法律系只愛戰校
沒想過那篇低卡底下不分學校法律系都在嗆逢甲原潑
1
/
2
2,092
49
28
66"
8,dom:div,"gyx17._
2026-4-21
當你是資傳系 平面設計就可以找自己喜歡的
38
3"
9,dom:div,"ntuhrcc
研究所
2026-1-28
2月就是碩班筆試季了，也差不多是決定「到底要不要考研」的最後時刻⏳
其實很少人知道，人力資源在國內也有專門的研究所，而且選擇比想像中多。
這邊整理10所國立的人資相關研究所，給正在觀望或準備中的人參考：
1. 中山大學 人力資源管理研究所
2. 中央大學 人力資源管理研究所
3. 臺灣師範大學 國際人力資源發展研究所
4. 臺灣師範大學 科技應用與人力資源發展學系碩士班
5. 政治大學 勞工研究所
6. 中正大學 勞工關係學系碩士班
7. 彰化師範大學 人力資源管理研究所
8. 高雄師範大學 人力與知識管理研究所
9. 台北科技大學 技術及職業教育研究所碩士班
10. 高雄科技大學 人力資源發展系碩士班
104
2
32"
10,dom:div,"renee_swiftie_0614
中興大學
2026-6-16
這裡有沒有中興大學的人？
我也想要新生群
21
8
5"
11,dom:div,"yz1018__
2026-3-2
想了解社工系主要在上什麼課？
20
12
14"
12,visible:span[dir='auto'],"突然覺得最近
程式設計、資料科學相關的職缺
好難找⋯⋯"
13,visible:span[dir='auto'],好奇今天在東吳面試的同學們感覺如何
14,visible:span[dir='auto'],"想問問資工跟資管到底差在哪裡
還有兩科系未來的出路🤔"
15,visible:span[dir='auto'],"一直很想知道，
大學讀資訊工程、資訊科學、工業工程的人現在都做什麼行業？"
16,visible:span[dir='auto'],"剛剛去面試
教授問我對系上的課程或活動有沒有特別有興趣的
我回答他：系排
他們猶豫了一下說：我們很久沒有系排了
我跟他們說：網站上面有欸那你們可能要再改一下
全台不吃壓力第一人
1
/
2"
17,visible:span[dir='auto'],"數學系快畢業了
歡迎問我任何有關AI、機器學習、資料科學等問題，我會在我能力範圍內盡量回答你。
1
/
2"
18,visible:span[dir='auto'],上東吳有什麼推薦的活動或社團嗎？還是有什麼會踩雷的？可以請學長姐們給小的我一點建議嗎？對大學期待但我又不知道在期待什麼www
19,visible:span[dir='auto'],"東吳 你不是私立嗎 好了就好了
太超標了 高6級分 什麼意思💀💀💀
1
/
2"
20,visible:span[dir='auto'],"資工系三大雷點
1. 程式碼裡有中文
2. 使用淺色模式
3. 欸幫我修電腦"
21,visible:span[dir='auto'],"認真想問 讀心理系好嗎 會有出路嗎👀
1
/
2"
22,visible:span[dir='auto'],台灣有哪個系不會被勸「快逃」
23,visible:span[dir='auto'],工業工程管理系到底是什麼？？？
24,visible:span[dir='auto'],法商可以讀，但就是東吳補習班，要認真
25,visible:span[dir='auto'],但我上的是資料科學系
26,visible:span[dir='auto'],有人也是東吳資科的嗎我要來大型認親了
27,visible:span[dir='auto'],歡迎加入東吳大學資料科學系！
28,visible:span[dir='auto'],"莫名其妙正取資管系
但是我本身是0程式設計方面的基礎
數學還有英文也很爛 這樣唸資管會太硬嗎🙏"
29,visible:span[dir='auto'],"讓我增廣見聞一下
有什麼系是聽起來很沒用，但意外有工作的嗎？"
30,visible:span[dir='auto'],"在十六週和十八週中間，東吳選擇了一個十七週
/
然後就會發現碩士生會爆炸，所有的報告都卡在下下週"
31,visible:span[dir='auto'],"資管系到底算文組還理組
每次跟別人介紹都說是理組
然後就要解釋其實在商學院
但還是要念研究所
然後再問跟資工有什麼不一樣
再解釋一番
再問說為什麼不念資工
再解釋一遍"
32,visible:span[dir='auto'],"東吳和輔大到底哪個比較好？
我個人感覺東吳比較有名吧？
為什麼輔大分數這麼高？"
33,visible:span[dir='auto'],"【科系排名】
醫學: 從從容容
牙醫: 遊刃有餘
電機: 匆匆忙忙
資工: 連滾帶爬
法律: 睜眼說瞎話
物理: 哽咽什麼
數學: 哭什麼哭
企管: 沒出息
1
/
2"
34,visible:span[dir='auto'],"讀書 學測 台大 清大 成大 交大
面試 政大 中正 中興 中山 讀書
分科 數學 學習歷程 個人申請
繁星 學歷 校系 建築 法律 讀書
文組 國文 英文 公民 歷史 讀書
理組 電機 資工 機械 化工 土木
資工 資管 醫學 企管 財金 會計
經濟 中文 外文 歷史 哲學 心理
地理 化學 物理 生物 地科 傳播
🏋‍♂️（全體高三牲） （再39天）🏋‍♀️"
35,visible:span[dir='auto'],"國北你敢不敢收我
清華你敢不敢收我
市北你敢不敢收我
台藝你敢不敢收我
輔仁你敢不敢收我
東吳你敢不敢收我
東海你敢不敢收我
中山你敢不敢收我
高師你敢不敢收我
1
/
2"
36,visible:span[dir='auto'],"我上東吳大學了
42%出奇蹟😭😭😭😭
謝謝大家謝謝神明
我愛大家
我是東吳的學生了
被審資料再見啦😭😭😭😭😭😭
1
/
2"
37,visible:span[dir='auto'],"東吳大學115年科系人數排行：
法律學系 1,204
會計學系 965
企業管理學系 941
日本語文學系 827
經濟學系 755
英文學系 724
財務工程與精算數學系 707
中國文學系 680
國際經營與貿易學系 531
社會工作學系 528
資訊管理學系 518
政治學系 507
社會學系 487
資料科學系 403
心理學系 288
1
/
2"
38,visible:span[dir='auto'],到底生物科學系和生命科學系是同一個東西嗎？我真的很怕我查錯資料
39,visible:span[dir='auto'],"說我考上東吳大學很優秀已經很尷尬了，為什麼還要問我什麼系...
1
/
2"
40,visible:span[dir='auto'],東吳大學是什麼怪人收集器嗎
41,visible:span[dir='auto'],"想問問一看👀
淡江
輔仁
東吳
哪一間的經濟學系比較好"
42,visible:span[dir='auto'],"如果可以自由選 讓你再選一次
-
-
-
-
-
你大學會想要讀什麼系？跟現在的你還一樣嗎？"
43,visible:span[dir='auto'],"天啊感覺好難🤯
第一次知道
資工系要學什麼離散數學、微積分、線性代數…..
薪水最高才7萬@@
這麼難的東西薪水應該更高吧？
1
/
2"
44,visible:span[dir='auto'],"超扯超扯超扯 笭菁欸
我大東吳還是太厲害了"
45,visible:span[dir='auto'],統計系真的是數學系☹️💩
46,visible:span[dir='auto'],"如果我想讀心理系你們會勸退嗎
1
/
2"
47,visible:span[dir='auto'],"網路上一直在討論東吳大學要合併台大
我的理想是 東吳+政大+國北教 三間合併
這樣就可以叫「東政教大學」
校長還叫「乾隆」多麼氣派啊😎
1
/
2"
48,visible:span[dir='auto'],"要為了校名去政大還是為了科系去東吳啊…
1
/
2"
49,visible:span[dir='auto'],"2025年初回顧
關於資料科學 相關職缺面試被問的問題
2019-2020:
請你自我介紹，問一些python跟統計或ML相關的package你會哪些。
2023-2024:
演算法白板題、視覺化工具、容器與微服務、spark、git與CI/CD、排程工具、三大雲端、LLM RAG等相關開發經驗…"
50,visible:span[dir='auto'],"想請問北大法跟他東吳法應該選哪一個呢
不考慮排名和學費的話"
51,visible:span[dir='auto'],"有聽說轉系考其實很困難 我本人成績蠻普通的所以也因此有點擔憂 不知道怎麼選擇
1
/
2"
52,visible:span[dir='auto'],"雖然東吳大學並不是什麼名校，但還是勝過台灣大學。
東吳大學有爬不完的樓梯，而台灣大學沒有，
此為一勝；
東吳大學一勝，台大零勝，此乃第二勝；
東吳大學兩勝，台大零勝，此乃第三勝。
故東吳大學才是貨真價實的頂大。"
53,visible:span[dir='auto'],"脆上看到好多上東吳的
有東吳二類的同溫層嗎🥹🥹"
54,visible:span[dir='auto'],"我是東吳大一新生，最近看到學校在宣傳東吳超馬報名還有招募志工，好像有點好玩，不曉得有沒有參加過的學長姐可以分享一下經驗୧( ""̮ )୨✧︎"
55,visible:span[dir='auto'],"輔大會計好嗎？
我沒上北大和東吳就填輔大了
海大不知道在哪個等級"
56,visible:span[dir='auto'],"No.5 物理治療系
No.4 電機系
No.3 牙醫系
No.2 電機系
No.1 …
1
/
2"
57,visible:span[dir='auto'],"輔仁大學115年科系人數排行：
織品服裝學系 1,020
體育學系 800
企業管理學系 764
法律學系 629
金融與國際企業 530
日本語文學系 520
資訊工程學系 519
電機工程學系 510
經濟學系 477
統計資訊學系 476
化學系 473
資訊管理學系 470
中國文學系 465
餐旅管理學系 465
會計學系 462
1
/
2"
58,visible:span[dir='auto'],"超沒禮貌 祝你上不了東吳><！
1
/
2"
59,visible:span[dir='auto'],"我和東吳教授聊到一堆有的沒的
我說希望可以看到東吳的藍鵲
教授和我說他被東吳藍鵲巴頭過
1
/
2"
60,visible:span[dir='auto'],東吳大學人文社會學院
61,visible:span[dir='auto'],"不太知道大學到底經歷了什麼？
1
/
2"
62,visible:span[dir='auto'],"東吳經濟
東吳財務工程與精算數學系
輔仁統資
要怎麼選啊啊啊😭
有沒有學長姐能給建議或優缺點"
63,visible:span[dir='auto'],"可以給點意見嗎
1
/
2"
64,visible:span[dir='auto'],"蛤 東吳跟輔仁是輔仁比較推喔
😭😭😭❓
1
/
2"
65,visible:span[dir='auto'],"有輔大資工系的嗎？
會寫 Python 語言的 寫 交易程式
有薪水～～
1
/
2"
66,visible:span[dir='auto'],今年東吳會計比企管低是什麼意思😌😌
67,visible:span[dir='auto'],"歡迎各位高中生報考東吳大學
東吳大學絕對是你最佳的選擇！
1
/
2"
68,visible:span[dir='auto'],冷知識：從文化大學只要騎車1分鐘就可以到東吳，再騎10分鐘就可以到政大。
69,visible:span[dir='auto'],"聽說今天學測正是分發！
￼
一起曬出你的分發簡訊
歡迎大家來東吳大學
下收新生社群！
1
/
2"
70,visible:span[dir='auto'],"高中生最愛私立大學科系：
輔仁大學 - 心理學系
東吳大學 - 法律學系
中國醫藥 - 藥學系
世新大學 - 廣播電視電影學系
臺北醫學 - 藥學系
中國醫藥 - 中醫學系
輔仁大學 - 應用美術學系
實踐大學 - 服裝設計學系
輔仁大學 - 法律學系
長庚科技 - 護理系
世新大學 - 傳播管理學系
輔仁大學 - 織品服裝學系
中原大學 - 室內設計學系
世新大學 - 社會心理學系
世新大學 - 數位多媒體設計學系
1
/
2"
71,visible:span[dir='auto'],心理系學那麼多為什麼薪水那麼低啊
