id,source,text
1,dom:div,"為你推薦
新串文
搜尋
動態
個人檔案
洞察報告
已儲存
動態消息
編輯
追蹤中
附帶原始貼文的回覆內容
更多"
2,dom:div,"diluvchan
吳是溫
2025-5-17
吳是溫是真歐巴………….超暈
1
/
2
17
1
3
tsung730
2026-5-20
東吳大學中文素養
到底為什麼這麼有創意
55
15
ushinep_tune23
2024-11-9
吳是溫是把吃過的給用紙嗎….
1
/
2
148
3
3
6
annawu_24
2024-3-15
拆前田路附贈吳是溫
賺爛ㄌ（對我的日專現在才到）
63
2
1
vivianan0115
2024-11-20
正在回覆
@lixiafloral
沒想到會在這看到我大學同學…
41
1
1
lixiafloral
2024-11-20
東吳日文嗎…？🥹
12
2
2
fanyunig
2024-5-27
正在回覆
@fanyunig
國會質詢或調查權制度的完備化，固然是我國國會改革應該推進的事項， 然而各個民主國家的具體法制設計，均有重大差異無法直接移植，若逕以外國法制之表象作為參考倉促立法，或未顧及憲政體制的權力平衡，甚至對於人民與官員基本權利的過度侵害，將造成憲政體制的混亂。在這個台灣民主發展的「憲法時刻」，我們呼籲立法院不要在本週倉促表決，將其退回委員會，讓相關法案能夠在各界充分參與與討論之後，再做周延而完整的立法。倘若立法院仍執意進行三讀程序，我們也呼籲行政院與總統依據憲法之規定行使覆議權，退回立法院重啟審議。
連署人（依姓氏筆畫順序排列）
王毓正（國立成功大學法律學系副教授）
王曉丹（國立政治大學法學院教授）
王韻茹（國立中正大學法律學系教授）
(3/5)
28
1
2
fanyunig
2024-5-27
石忠山（國立東華大學公共行政學系教授兼原住民民族學院院長）
吳明孝（義守大學公共政策與管理學系助理教授）
吳秦雯（國立政治大學法學院副教授）
呂彥彬（國立政治大學法學院副教授）
李玉春（國立中正大學勞工關係學系副教授）
李志峰（東吳大學法律學系教授）
辛年豐（逢甲大學土地管理學系副教授）
周兆昱（國立中正大學法律學系教授）
周欣怡（東海大學法律學系助理教授）
林谷燕（國立空中大學社會科學系林谷燕副教授）
林佳和（國立政治大學法學院副教授）
林倖如（國立臺灣海洋大學海洋法律研究所副教授）
林書楷（東吳大學法律學系教授）
洪令家（國立中正大學法律學系副教授）
洪瑩容（國立中興大學法律系助理教授）
胡博硯（東吳大學法律學系教授）
范耕維（國立東華大學法律學系助理教授）
孫迺翊（國立台灣大學法律學系教授）
徐偉群（中原大學法學院財經法律學系副教授）
徐揮彥（國立東華大學法律學系教授）
翁燕菁（國立政治大學政治系副教授）
張兆恬（國立台灣大學國家發展研究所副教授）
(4/5)
4
/
5
25
1
1
cherishzerofour
2024-8-13
吳是溫……😵‍💫
1
/
2
117
2
10
4"
3,visible:span[dir='auto'],"東吳企管也上了！但我分數不高是不是輸在學測啊……教授你肯定是愛我的吧…
1
/
2"
4,visible:span[dir='auto'],"兩台557
幹來東吳第一次打這麼富裕的仗"
5,visible:span[dir='auto'],有人也是東吳資科的嗎我要來大型認親了
6,visible:span[dir='auto'],"有東吳的學長姐嗎 你們對於東吳的評價是什麼
我很想知道😭"
7,visible:span[dir='auto'],"補一張東吳8人宿照片
1
/
2"
8,visible:span[dir='auto'],"祈禱上東吳資科吧
1
/
2"
9,visible:span[dir='auto'],"美女最多的大學是哪間！
東吳
輔仁
世新
實踐
政大
淡江
文化"
10,visible:span[dir='auto'],"個申一階全上東吳
想問學長姊東吳的校風如何😖😖
因為本人比較純樸、晚上從來沒去過信義區⋯⋯⋯ 希望大學不要有太多愛玩的朋友😭👉👈"
