id,text
1,"189 位粉絲 • 199 則串文 • 全亞洲第一個以學院級成立的教育單位，培養兼具理論與實務的跨領域人才。
#巨量資料管理學院 #東吳大學資料科學系
🎯YT：東吳大學巨量資料管理學院資料科學系
🔍FB：東吳巨資學院 資料科學系。查看 @scu_data_science 參與的最新對話。"
2,"為你推薦
新串文
搜尋
訊息
動態
個人檔案
洞察報告
已儲存
動態消息
編輯
追蹤中
附帶原始貼文的回覆內容
更多"
3,"scu_data_science
東吳大學資料科學系
scu_data_science
全亞洲第一個以學院級成立的教育單位，培養兼具理論與實務的跨領域人才。
#巨量資料管理學院 #東吳大學資料科學系
🎯YT：東吳大學巨量資料管理學院資料科學系
🔍FB：東吳巨資學院 資料科學系
bigdata.scu.edu.tw
190
位粉絲
·
1.4 萬次最近瀏覽次數
追蹤中
發送訊息
串文
回覆
影音內容
轉發
scu_data_science
2024-6-2
#大家好 東吳大學113學年度大學申請入學錄取名單公告囉❗️❗️❗️
reurl.cc/5v3bj…
🎊恭喜正備取東吳資料科學系的同學們👏👏👏
填報第一志願，一起探索數據的多元創新應用，讓我們一同飛向浩瀚的AI宇宙👩‍🚀
所有正、備取生都需於113年6月6日(四)至6月7日(五)每日上午9時起至下午9時止至大學甄選入學委員會網站登記就讀志願序。
期待您將東吳大學資料科學系優先填入第一志願序，東吳大學歡迎您😄
🎯2024東吳探索大攻略─大學生活致勝出擊! 活動資訊
reurl.cc/vaE7z…
對於校園生活心中是不是充滿了許多疑問和期待呢！東吳大學即將於 6 月 5 日(星期三)舉辦大學生活大哉問，透過大學住宿、交換及跨領域學習介紹，儘早熟悉校園生活、適應大學學習氛圍。讓東吳大學成為您進入大學生活的好趴呢！歡迎踴躍報名參加！！
#東吳大學 #巨資學院 #資料科學系 #申請入學 #志願選填 #放榜
#東吳探索大攻略
#大學生活致勝出擊
3
scu_data_science
2024-6-2
1
/
2
1
1
scu_data_science
2024-6-2
🚀飛向宇宙，浩瀚無垠🚀
112學年度東吳大學巨資學院畢業典禮
誠摯邀請畢業生及親友共襄盛舉！
日期：113年6月8日(六)
地點：哲生樓三樓H303教室
時間：下午2:00~3:05 (1:50入場)
※因場地限制，將安排畢業生親友至H304教室觀看直播，不便之處，敬請見諒。
🖥直播網址：
reurl.cc/Gjnpa…
2
/
2
reurl.cc
東吳大學巨量資料管理學院-112學年度(113級)畢業典禮(直播現場)"
4,"無論你未來想從事 AI、資料分析、BI、大數據、軟體開發、雲端服務，或是對 赴日工作與海外職涯發展 有興趣，都非常適合參加。 歡迎資科系老師與同學踴躍報名參與，把握與日本企業直接交流的難得機會！ 報名連結 forms.gle/udGa1…
2
/
2"
5,"🎉 東吳資科 115 學年度「學士班＋碩士班」雙滿招！
#東吳大學資料科學系 115 學年度學士班 & 碩士班 招生全數額滿啦！ 🥳
真的超級感謝每一位選擇東吳資科的同學和家長！
這不只是一項滿招紀錄，更是大家對我們用心辦學與未來職涯人才培育的最大肯定！
恭喜所有透過繁星、申請入學、分科測驗順利上岸的大一新鮮人，以及錄取報到的碩士班同學，你們真的太優秀了！
115 學年度的全體資科新鮮人，我們九月開學見囉！✨
#東吳大學 #巨資學院 #資料科學系 #東吳第一哩"
6,"🎓【下一站，世界名校】 東吳大學資料科學系114學年度研究所錄取捷報！ 恭喜資料科學系同學錄取國內外多所知名大學研究所，從世界名校到國內各大學研究所，展現資料科學系學生多元發展與卓越實力。
每一份錄取通知，都是努力與堅持的成果；每一次突破，都代表著資料科學系學生邁向更寬廣的舞台。
🌏以數據為筆，以 AI 為翼 ，From Soochow to the World.
🔗 東吳大學資料科學系官網 web-ch.scu.edu.tw/datas…
※ 因版面限制，本榜單僅呈現部分錄取學校，謹向所有錄取國內外研究所之同學致上誠摯祝賀。"
7,✨AI基礎理論結合實務應用，打造智慧學習新體驗✨ 115年5月30日，東吳大學資料科學系碩士在職專班於《資料科學導論》課程中舉辦「AI基礎與邏輯暨 OpenClaw 實作教學」活動，由資料科學系種子講師黃詩陽老師與曹君寬老師共同授課。 課程內容從人工智慧相關專有名詞介紹與基礎運作邏輯出發，帶領學員建立 AI 核心概念；並進一步透過實作教學，在電腦本地端完成 OpenClaw 平台與大型語言模型的串接，實際建置「股票晨報系統」，體驗 AI 應用開發流程。 透過理論與實作並重的學習方式，讓學員不僅理解 AI 技術原理，更能親手打造具備實際應用價值的智慧工具，深化資料科學與人工智慧的整合應用能力。 #東吳大學 #資料科學系 #碩士在職專班 #資料科學導論 #OpenClaw
8,📢【115年 Kebbi 凱比機器人競賽｜全國熱烈報名中！】 🤖 想把創意化為真正的機器人應用嗎？ 📚 不論是「智慧教學」、「互動遊戲」或「生活應用」，歡迎發揮你的想像力，打造專屬的 Kebbi 機器人作品！ 👥 參賽對象｜ 全國各級學校師生皆可參加（可組隊參賽） ✨ 透過競賽培養： ✔ AI 與機器人應用能力 ✔ 創意思考與問題解決能力 ✔ 團隊合作與實作經驗 📅 報名截止｜115/8/19 🏆 決賽日期｜115/9/16 📍 決賽地點｜東吳大學雙溪校區 🎓 競賽工作坊同步開放報名中！ 🔗 工作坊報名：forms.gle/ujhEq… 🌐 競賽網站：sites.google.com/view… 一起讓創意動起來， 用 Kebbi 開啟你的 AI 機器人實戰舞台！🚀 #東吳大學 #資料科學系 #115年Kebbi凱比機器人競賽
9,"🚀【115學年度資料科學系新生工作坊】報名即將開跑！🚀 各位資料科學系的準新生們，大家好！ 不論你是剛面試完、正準備填我們系為第一志願的大學部同學，還是即將展開研究生涯的碩士班、碩專班新生，系上都為大家準備了超強的暑期大禮包！ 我們特別邀請到三位頂尖的業界總經理、執行長與技術長親自授課！從 AI 行銷自動化、NotebookLM 知識管理，到最前沿的 vibe coding 實戰開發，帶你提早解鎖邁向資料科學家必備的 AI 工具與實務技能，搶先贏在起跑點！ ⏱️ 開放線上報名時間： 115 年 6 月 12 日（五）上午 09:00 起（名額有限！） 👉 報名連結：forms.gle/HvT1K… 參加對象：115學年度入學之學士班、碩士班、碩專班新生 (學長姐可另外參加9月份周光宇老師工作坊,先活動預告一下)"
10,東吳資料科學系115學年度資料科學系新生工作坊 報名表
